ID_Trans,ID1,ID2,ID3,ID_cross,ID_OTU,Cultivar,Habitat,Timepiont,Treatment1,plot
SRR8742869_quant,SRR8742869,SRX5534941,A0713166L05,RTX430_Leaf_TP06_Pre_flowering_drought_5,TP6L5,RTX430,Leaf,TP06,Pre_flowering_drought,5
SRR8742870_quant,SRR8742870,SRX5534942,A0713166L13,RTX430_Leaf_TP06_Pre_flowering_drought_13,TP6L13,RTX430,Leaf,TP06,Pre_flowering_drought,13
SRR8742871_quant,SRR8742871,SRX5534943,A0713166L18,RTX430_Leaf_TP06_Pre_flowering_drought_18,TP6L18,RTX430,Leaf,TP06,Pre_flowering_drought,18
SRR8742929_quant,SRR8742929,SRX5535001,A0713166L12,RTX430_Leaf_TP06_Control_12,TP6L12,RTX430,Leaf,TP06,Control,12
SRR8742930_quant,SRR8742930,SRX5535002,A0713166L20,RTX430_Leaf_TP06_Control_20,TP6L20,RTX430,Leaf,TP06,Control,20
SRR8742931_quant,SRR8742931,SRX5535003,A0713166L01,RTX430_Leaf_TP06_Control_1,TP6L1,RTX430,Leaf,TP06,Control,1
SRR8742967_quant,SRR8742967,SRX5535039,A0713166L06,BTX642_Leaf_TP06_Pre_flowering_drought_6,TP6L6,BTX642,Leaf,TP06,Pre_flowering_drought,6
SRR8742968_quant,SRR8742968,SRX5535040,A0713166L14,BTX642_Leaf_TP06_Pre_flowering_drought_14,TP6L14,BTX642,Leaf,TP06,Pre_flowering_drought,14
SRR8742969_quant,SRR8742969,SRX5535041,A0713166L17,BTX642_Leaf_TP06_Pre_flowering_drought_17,TP6L17,BTX642,Leaf,TP06,Pre_flowering_drought,17
SRR8743029_quant,SRR8743029,SRX5535101,A0713166L11,BTX642_Leaf_TP06_Control_11,TP6L11,BTX642,Leaf,TP06,Control,11
SRR8743030_quant,SRR8743030,SRX5535102,A0713166L19,BTX642_Leaf_TP06_Control_19,TP6L19,BTX642,Leaf,TP06,Control,19
SRR8743031_quant,SRR8743031,SRX5535103,A0713166L02,BTX642_Leaf_TP06_Control_2,TP6L2,BTX642,Leaf,TP06,Control,2
SRR8743067_unmaped__quant,SRR8743067,SRX5535139,A0713166R13,RTX430_Root_TP06_Pre_flowering_drought_13,TP6R13,RTX430,Root,TP06,Pre_flowering_drought,13
SRR8743068_unmaped__quant,SRR8743068,SRX5535140,A0713166R05,RTX430_Root_TP06_Pre_flowering_drought_5,TP6R5,RTX430,Root,TP06,Pre_flowering_drought,5
SRR8743069_unmaped__quant,SRR8743069,SRX5535141,A0713166R18,RTX430_Root_TP06_Pre_flowering_drought_18,TP6R18,RTX430,Root,TP06,Pre_flowering_drought,18
SRR8743129_unmaped__quant,SRR8743129,SRX5535201,A0713166R12,RTX430_Root_TP06_Control_12,TP6R12,RTX430,Root,TP06,Control,12
SRR8743130_unmaped__quant,SRR8743130,SRX5535202,A0713166R20,RTX430_Root_TP06_Control_20,TP6R20,RTX430,Root,TP06,Control,20
SRR8743131_unmaped__quant,SRR8743131,SRX5535203,A0713166R01,RTX430_Root_TP06_Control_1,TP6R1,RTX430,Root,TP06,Control,1
SRR8743167_unmaped__quant,SRR8743167,SRX5535239,A0713166R06,BTX642_Root_TP06_Pre_flowering_drought_6,TP6R6,BTX642,Root,TP06,Pre_flowering_drought,6
