"","ID_OTU","Fungi_percent","ID.x","size_content","ID.y","GC_content","ID1","ID2","ID3","ID_cross","Cultivar","Habitat","Timepiont","Treatment1","plot"
"77","TP9L20",46.94466931,"TP9L20",2268.08056661182,"SRR8742937_quant",48.0460042769311,"SRR8742937","SRX5535009","A0803169L20","RTX430_Leaf_TP09_Control_20","RTX430","Leaf",9,"Control",20
"78","TP9L1",47.88604879,"TP9L1",2172.69365961393,"SRR8742938_quant",46.5778523206043,"SRR8742938","SRX5535010","A0803169L01","RTX430_Leaf_TP09_Control_1","RTX430","Leaf",9,"Control",1
"79","TP10L20",90.44287468,"TP10L20",1598.43544982622,"SRR8742939_quant",50.5562481865509,"SRR8742939","SRX5535011","A0810162L20","RTX430_Leaf_TP10_Control_20","RTX430","Leaf",10,"Control",20
"80","TP10L12",89.14550335,"TP10L12",1771.50247576824,"SRR8742940_quant",50.3267173854649,"SRR8742940","SRX5535012","A0810162L12","RTX430_Leaf_TP10_Control_12","RTX430","Leaf",10,"Control",12
"81","TP10L1",78.8660257,"TP10L1",2117.67687436667,"SRR8742941_quant",46.0517313925806,"SRR8742941","SRX5535013","A0810162L01","RTX430_Leaf_TP10_Control_1","RTX430","Leaf",10,"Control",1
"82","TP11L20",93.2095607,"TP11L20",1445.34363511651,"SRR8742942_quant",51.6465167261308,"SRR8742942","SRX5535014","A0817163L20","RTX430_Leaf_TP11_Control_20","RTX430","Leaf",11,"Control",20
"83","TP11L12",94.62422635,"TP11L12",1468.73630917284,"SRR8742943_quant",51.7157763177062,"SRR8742943","SRX5535015","A0817163L12","RTX430_Leaf_TP11_Control_12","RTX430","Leaf",11,"Control",12
"84","TP11L1",99.78086194,"TP11L1",1599.32096416994,"SRR8742944_quant",50.9582920187518,"SRR8742944","SRX5535016","A0817163L01","RTX430_Leaf_TP11_Control_1","RTX430","Leaf",11,"Control",1
"85","TP12L20",98.75509766,"TP12L20",1635.41604864316,"SRR8742945_quant",49.890679146779,"SRR8742945","SRX5535017","A0824164L20","RTX430_Leaf_TP12_Control_20","RTX430","Leaf",12,"Control",20
"86","TP12L1",95.32183403,"TP12L1",1630.35605392733,"SRR8742946_quant",51.5673577456807,"SRR8742946","SRX5535018","A0824164L01","RTX430_Leaf_TP12_Control_1","RTX430","Leaf",12,"Control",1
"87","TP12L12",96.85984604,"TP12L12",1441.33811497129,"SRR8742947_quant",52.1457478303371,"SRR8742947","SRX5535019","A0824164L12","RTX430_Leaf_TP12_Control_12","RTX430","Leaf",12,"Control",12
"88","TP13L20",98.55584209,"TP13L20",1384.9987097169,"SRR8742948_quant",51.8875795486728,"SRR8742948","SRX5535020","A0831165L20","RTX430_Leaf_TP13_Control_20","RTX430","Leaf",13,"Control",20
"89","TP13L1",99.13083847,"TP13L1",1412.99923333873,"SRR8742949_quant",51.4841134658023,"SRR8742949","SRX5535021","A0831165L01","RTX430_Leaf_TP13_Control_1","RTX430","Leaf",13,"Control",1
"90","TP13L12",96.34108163,"TP13L12",1397.67894839754,"SRR8742950_quant",52.2289839748356,"SRR8742950","SRX5535022","A0831165L12","RTX430_Leaf_TP13_Control_12","RTX430","Leaf",13,"Control",12
"91","TP14L12",98.40424655,"TP14L12",1271.49181356325,"SRR8742951_quant",52.9455470484265,"SRR8742951","SRX5535023","A0907166L12","RTX430_Leaf_TP14_Control_12","RTX430","Leaf",14,"Control",12
"92","TP15L20",97.1650109,"TP15L20",1080.88823031769,"SRR8742952_quant",52.4921235517546,"SRR8742952","SRX5535024","A0914167L20","RTX430_Leaf_TP15_Control_20","RTX430","Leaf",15,"Control",20
"93","TP15L12",96.23548842,"TP15L12",1220.74458154575,"SRR8742953_quant",52.2286644027949,"SRR8742953","SRX5535025","A0914167L12","RTX430_Leaf_TP15_Control_12","RTX430","Leaf",15,"Control",12
"94","TP16L12",96.04813549,"TP16L12",1181.39829448718,"SRR8742954_quant",53.0260713048975,"SRR8742954","SRX5535026","A0921168L12","RTX430_Leaf_TP16_Control_12","RTX430","Leaf",16,"Control",12
"95","TP17L1",95.21606119,"TP17L1",1275.41381295142,"SRR8742955_quant",53.2891926066285,"SRR8742955","SRX5535027","A0928169L01","RTX430_Leaf_TP17_Control_1","RTX430","Leaf",17,"Control",1
"96","TP17L20",98.77844868,"TP17L20",1247.69028175046,"SRR8742956_quant",53.1941588204845,"SRR8742956","SRX5535028","A0928169L20","RTX430_Leaf_TP17_Control_20","RTX430","Leaf",17,"Control",20
"97","TP17L12",98.47721592,"TP17L12",1276.33184537107,"SRR8742957_quant",53.0421116918794,"SRR8742957","SRX5535029","A0928169L12","RTX430_Leaf_TP17_Control_12","RTX430","Leaf",17,"Control",12
"98","TP3L6",4.043969342,"TP3L6",2674.12214042861,"SRR8742958_quant",46.3824967701071,"SRR8742958","SRX5535030","A0622162L06","BTX642_Leaf_TP03_Pre_flowering_drought_6","BTX642","Leaf",3,"Pre_flowering_drought",6
"99","TP3L14",16.07072948,"TP3L14",2768.87752307374,"SRR8742959_quant",46.5600671847365,"SRR8742959","SRX5535031","A0622162L14","BTX642_Leaf_TP03_Pre_flowering_drought_14","BTX642","Leaf",3,"Pre_flowering_drought",14
"100","TP3L17",6.719256797,"TP3L17",2615.50843137284,"SRR8742960_quant",46.0350658962979,"SRR8742960","SRX5535032","A0622162L17","BTX642_Leaf_TP03_Pre_flowering_drought_17","BTX642","Leaf",3,"Pre_flowering_drought",17
"101","TP4L6",32.29236222,"TP4L6",2404.85253660903,"SRR8742961_quant",46.7118168605957,"SRR8742961","SRX5535033","A0629164L06","BTX642_Leaf_TP04_Pre_flowering_drought_6","BTX642","Leaf",4,"Pre_flowering_drought",6
"102","TP4L14",9.513803972,"TP4L14",2644.09730136451,"SRR8742962_quant",45.8554137712537,"SRR8742962","SRX5535034","A0629164L14","BTX642_Leaf_TP04_Pre_flowering_drought_14","BTX642","Leaf",4,"Pre_flowering_drought",14
"103","TP4L17",4.799258361,"TP4L17",2573.9468932242,"SRR8742963_quant",46.4155356396918,"SRR8742963","SRX5535035","A0629164L17","BTX642_Leaf_TP04_Pre_flowering_drought_17","BTX642","Leaf",4,"Pre_flowering_drought",17
"104","TP5L6",10.15024422,"TP5L6",2458.85626399683,"SRR8742964_quant",46.0823764933533,"SRR8742964","SRX5535036","A0706165L06","BTX642_Leaf_TP05_Pre_flowering_drought_6","BTX642","Leaf",5,"Pre_flowering_drought",6
"105","TP5L14",11.15253447,"TP5L14",2668.83605338733,"SRR8742965_quant",46.4392528771895,"SRR8742965","SRX5535037","A0706165L14","BTX642_Leaf_TP05_Pre_flowering_drought_14","BTX642","Leaf",5,"Pre_flowering_drought",14
"106","TP5L17",10.34105815,"TP5L17",2560.54367516762,"SRR8742966_quant",46.3066731773139,"SRR8742966","SRX5535038","A0706165L17","BTX642_Leaf_TP05_Pre_flowering_drought_17","BTX642","Leaf",5,"Pre_flowering_drought",17
"107","TP6L6",15.71409697,"TP6L6",2556.25123991901,"SRR8742967_quant",46.1565770755777,"SRR8742967","SRX5535039","A0713166L06","BTX642_Leaf_TP06_Pre_flowering_drought_6","BTX642","Leaf",6,"Pre_flowering_drought",6
"108","TP6L14",6.215437339,"TP6L14",2633.24890373085,"SRR8742968_quant",45.8789288650744,"SRR8742968","SRX5535040","A0713166L14","BTX642_Leaf_TP06_Pre_flowering_drought_14","BTX642","Leaf",6,"Pre_flowering_drought",14
"109","TP6L17",2.981191624,"TP6L17",2586.25022981694,"SRR8742969_quant",45.7007857490257,"SRR8742969","SRX5535041","A0713166L17","BTX642_Leaf_TP06_Pre_flowering_drought_17","BTX642","Leaf",6,"Pre_flowering_drought",17
"110","TP7L6",7.352477122,"TP7L6",2594.19105659771,"SRR8742970_quant",45.7054694518488,"SRR8742970","SRX5535042","A0720167L06","BTX642_Leaf_TP07_Pre_flowering_drought_6","BTX642","Leaf",7,"Pre_flowering_drought",6
"111","TP8L14",31.28335358,"TP8L14",2562.77448912479,"SRR8742971_quant",46.7806017587765,"SRR8742971","SRX5535043","A0727168L14","BTX642_Leaf_TP08_Pre_flowering_drought_14","BTX642","Leaf",8,"Pre_flowering_drought",14
"112","TP8L6",13.94525656,"TP8L6",2378.32010214484,"SRR8742972_quant",46.1532709270181,"SRR8742972","SRX5535044","A0727168L06","BTX642_Leaf_TP08_Pre_flowering_drought_6","BTX642","Leaf",8,"Pre_flowering_drought",6
"113","TP8L17",14.44266315,"TP8L17",2410.27372726394,"SRR8742973_quant",45.562481985922,"SRR8742973","SRX5535045","A0727168L17","BTX642_Leaf_TP08_Pre_flowering_drought_17","BTX642","Leaf",8,"Pre_flowering_drought",17
"114","TP9L14",37.16015602,"TP9L14",2547.48484345503,"SRR8742974_quant",47.3010196424402,"SRR8742974","SRX5535046","A0803169L14","BTX642_Leaf_TP09_Pre_flowering_drought_14","BTX642","Leaf",9,"Pre_flowering_drought",14
"115","TP9L6",10.92130518,"TP9L6",2693.81381850796,"SRR8742975_quant",46.8651065098983,"SRR8742975","SRX5535047","A0803169L06","BTX642_Leaf_TP09_Pre_flowering_drought_6","BTX642","Leaf",9,"Pre_flowering_drought",6
